Sensor ID,Object NORAD ID,UTC Start,UTC Stop,UTC Time Closest Approach,UTC Time Max Elevation,Min Range [km],Max Elevation [deg]
UNSW Falcon,47967,2021-09-06 08:31:30,2021-09-06 08:39:40,2021-09-06 08:35:40,2021-09-06 08:35:30,708,51
NJC Falcon,47967,2021-09-06 09:13:20,2021-09-06 09:14:20,2021-09-06 09:13:20,2021-09-06 09:13:20,1396,18
CMU Falcon,47967,2021-09-06 09:13:20,2021-09-06 09:13:20,2021-09-06 09:13:20,2021-09-06 09:13:20,1800,10
NJC Falcon,47967,2021-09-06 10:49:00,2021-09-06 10:55:10,2021-09-06 10:51:10,2021-09-06 10:51:10,673,53
CMU Falcon,47967,2021-09-06 10:49:00,2021-09-06 10:54:00,2021-09-06 10:50:10,2021-09-06 10:50:10,772,43
CMU Falcon,47967,2021-09-06 12:26:40,2021-09-06 12:34:50,2021-09-06 12:30:40,2021-09-06 12:30:40,555,80
NJC Falcon,47967,2021-09-06 12:27:40,2021-09-06 12:31:00,2021-09-06 12:31:00,2021-09-06 12:31:00,700,49
UNSW Falcon,47967,2021-09-07 08:26:20,2021-09-07 08:34:00,2021-09-07 08:30:10,2021-09-07 08:30:10,897,36
NJC Falcon,47967,2021-09-07 09:08:30,2021-09-07 09:09:00,2021-09-07 09:08:40,2021-09-07 09:08:40,1638,13
CMU Falcon,47967,2021-09-07 10:44:10,2021-09-07 10:48:50,2021-09-07 10:44:50,2021-09-07 10:44:50,726,47
NJC Falcon,47967,2021-09-07 10:44:10,2021-09-07 10:49:50,2021-09-07 10:45:50,2021-09-07 10:45:50,623,61
CMU Falcon,47967,2021-09-07 12:21:20,2021-09-07 12:29:20,2021-09-07 12:25:20,2021-09-07 12:25:20,614,62
NJC Falcon,47967,2021-09-07 12:22:20,2021-09-07 12:30:00,2021-09-07 12:26:10,2021-09-07 12:26:10,793,41
UNSW Falcon,47967,2021-09-08 08:23:30,2021-09-08 08:28:00,2021-09-08 08:24:40,2021-09-08 08:24:40,1134,25
NJC Falcon,47967,2021-09-08 09:03:40,2021-09-08 09:03:50,2021-09-08 09:03:50,2021-09-08 09:03:50,1816,10
CMU Falcon,47967,2021-09-08 10:39:20,2021-09-08 10:43:30,2021-09-08 10:39:30,2021-09-08 10:39:30,668,54
NJC Falcon,47967,2021-09-08 10:39:20,2021-09-08 10:44:30,2021-09-08 10:40:30,2021-09-08 10:40:30,576,72
CMU Falcon,47967,2021-09-08 12:16:00,2021-09-08 12:23:40,2021-09-08 12:19:50,2021-09-08 12:19:50,734,46
NJC Falcon,47967,2021-09-08 12:17:00,2021-09-08 12:24:10,2021-09-08 12:20:40,2021-09-08 12:20:40,971,31
UNSW Falcon,47967,2021-09-09 08:18:20,2021-09-09 08:21:50,2021-09-09 08:19:10,2021-09-09 08:19:10,1402,18
CMU Falcon,47967,2021-09-09 10:34:40,2021-09-09 10:38:10,2021-09-09 10:34:50,2021-09-09 10:34:50,662,54
NJC Falcon,47967,2021-09-09 10:34:40,2021-09-09 10:39:10,2021-09-09 10:35:10,2021-09-09 10:35:10,550,86
CMU Falcon,47967,2021-09-09 12:10:40,2021-09-09 12:18:00,2021-09-09 12:14:20,2021-09-09 12:14:20,903,34
NJC Falcon,47967,2021-09-09 12:11:50,2021-09-09 12:18:20,2021-09-09 12:15:10,2021-09-09 12:15:10,1182,23
UNSW Falcon,47967,2021-09-10 08:11:50,2021-09-10 08:15:10,2021-09-10 08:13:30,2021-09-10 08:13:30,1693,12
CMU Falcon,47967,2021-09-10 10:30:10,2021-09-10 10:32:50,2021-09-10 10:30:20,2021-09-10 10:30:20,838,38
NJC Falcon,47967,2021-09-10 10:30:10,2021-09-10 10:33:50,2021-09-10 10:30:20,2021-09-10 10:30:20,616,62
CMU Falcon,47967,2021-09-10 12:05:50,2021-09-10 12:12:10,2021-09-10 12:08:50,2021-09-10 12:08:50,1109,25
NJC Falcon,47967,2021-09-10 12:07:00,2021-09-10 12:12:10,2021-09-10 12:09:40,2021-09-10 12:09:40,1418,17
NJC Falcon,47967,2021-09-11 10:25:50,2021-09-11 10:28:20,2021-09-11 10:26:00,2021-09-11 10:26:00,946,32
CMU Falcon,47967,2021-09-11 10:25:50,2021-09-11 10:27:30,2021-09-11 10:26:00,2021-09-11 10:26:00,1195,23
CMU Falcon,47967,2021-09-11 12:01:40,2021-09-11 12:06:10,2021-09-11 12:03:20,2021-09-11 12:03:20,1342,19
NJC Falcon,47967,2021-09-11 12:02:30,2021-09-11 12:05:30,2021-09-11 12:04:00,2021-09-11 12:04:00,1674,12
CMU Falcon,47967,2021-09-12 10:21:50,2021-09-12 10:22:00,2021-09-12 10:22:00,2021-09-12 10:22:00,1753,11
NJC Falcon,47967,2021-09-12 10:21:50,2021-09-12 10:22:40,2021-09-12 10:22:00,2021-09-12 10:22:00,1511,15
CMU Falcon,47967,2021-09-12 11:57:40,2021-09-12 11:59:40,2021-09-12 11:57:50,2021-09-12 11:57:50,1598,13
