Year (TT),Month (TT),Day (0h TT),MJD (0h TT),X [arcsec],Y [arcsec],s [arcsec]
1980,1,1,44239,-403.98262673678100,-9.70147813934400,-0.01077739409786
1980,1,2,44240,-403.88071078210400,-9.69437148858500,-0.01077282677924
1980,1,3,44241,-403.78256074189400,-9.67069573590200,-0.01075186448328
1980,1,4,44242,-403.69410656955700,-9.63375374660400,-0.01071763596277
1980,1,5,44243,-403.61897899377200,-9.58882839041900,-0.01067527714094
1980,1,6,44244,-403.55823417408500,-9.54189375768000,-0.01063065471569
1980,1,7,44245,-403.51061428920200,-9.49853538787100,-0.01058928571864
1980,1,8,44246,-403.47308659537400,-9.46323319682400,-0.01055561697015
1980,1,9,44247,-403.44143486238600,-9.43898300998000,-0.01053264937792
1980,1,10,44248,-403.41078172409900,-9.42713054614300,-0.01052178241429
1980,1,11,44249,-403.37603610568600,-9.42728358734600,-0.01052273665741
1980,1,12,44250,-403.33234235096200,-9.43722989610900,-0.01053346939836
1980,1,13,44251,-403.27564686037200,-9.45287924528900,-0.01055009344032
1980,1,14,44252,-403.20348047255100,-9.46836351185000,-0.01056693601269
1980,1,15,44253,-403.11593332227200,-9.47655665081900,-0.01057701257970
1980,1,16,44254,-403.01654749574300,-9.47031151502500,-0.01057322664660
1980,1,17,44255,-402.91254830442400,-9.44448544818300,-0.01055037368426
1980,1,18,44256,-402.81372646068000,-9.39825838934100,-0.01050745208044
1980,1,19,44257,-402.72973678837700,-9.33657906438200,-0.01044912217046
1980,1,20,44258,-402.66663776854900,-9.26947769793400,-0.01038507036929
1980,1,21,44259,-402.62440993950200,-9.20898875451700,-0.01032703127026
1980,1,22,44260,-402.59692278045900,-9.16500543728300,-0.01028475709618
1980,1,23,44261,-402.57435038220600,-9.14214257653700,-0.01026294565876
1980,1,24,44262,-402.54663014321400,-9.13890820824700,-0.01026038253999
1980,1,25,44263,-402.50634069983700,-9.14901173124100,-0.01027114083968
1980,1,26,44264,-402.45016244707700,-9.16374279215900,-0.01028683179749
1980,1,27,44265,-402.37895227412300,-9.17437728609300,-0.01029892036209
1980,1,28,44266,-402.29688129378700,-9.17401333551000,-0.01030053471223
1980,1,29,44267,-402.21011219559800,-9.15864640663200,-0.01028757093161
1980,1,30,44268,-402.12536747525400,-9.12751616746100,-0.01025909757997
1980,1,31,44269,-402.04862871441000,-9.08283309777400,-0.01021713881800
1980,2,1,44270,-401.98415288744500,-9.02902882087700,-0.01016596206850
1980,2,2,44271,-401.93393045017800,-8.97173265479500,-0.01011106911211
1980,2,3,44272,-401.89760627366800,-8.91670755292100,-0.01005813114049
1980,2,4,44273,-401.87278520168700,-8.86894161273700,-0.01001207628247
1980,2,5,44274,-401.85558106378700,-8.83201693355900,-0.00997646141669
1980,2,6,44275,-401.84124647679900,-8.80778210930900,-0.00995315678957
1980,2,7,44276,-401.82476411511400,-8.79625883247100,-0.00994226758390
1980,2,8,44277,-401.80136759540000,-8.79568090216800,-0.00994217883914
1980,2,9,44278,-401.76702574799900,-8.80260236245400,-0.00994964907267
1980,2,10,44279,-401.71895949469600,-8.81207013042400,-0.00995994530028
1980,2,11,44280,-401.65626752556900,-8.81794549594100,-0.00996711391470
1980,2,12,44281,-401.58064352920100,-8.81357807369200,-0.00996460852722
1980,2,13,44282,-401.49694718977800,-8.79306624666000,-0.00994652301952
1980,2,14,44283,-401.41313384440200,-8.75314730014900,-0.00990947533079
1980,2,15,44284,-401.33891985157100,-8.69527290369500,-0.00985468996818
1980,2,16,44285,-401.28290690580900,-8.62673240899200,-0.00978914146963
1980,2,17,44286,-401.24898842094600,-8.55942499699200,-0.00972438082093
1980,2,18,44287,-401.23405952847800,-8.50594352560900,-0.00967272463290
1980,2,19,44288,-401.22884828400200,-8.47469277309000,-0.00964249503294
1980,2,20,44289,-401.22166836574100,-8.46685423685700,-0.00963504158899
1980,2,21,44290,-401.20284976061900,-8.47675948895900,-0.00964505518354
1980,2,22,44291,-401.16751166277000,-8.49485282279600,-0.00966338571984
1980,2,23,44292,-401.11594030062100,-8.51119543856100,-0.00968040019066
1980,2,24,44293,-401.05231429934300,-8.51799140195500,-0.00968842954695
1980,2,25,44294,-400.98288182836900,-8.51074386033900,-0.00968292878424
1980,2,26,44295,-400.91431648206900,-8.48834921926200,-0.00966263128368
1980,2,27,44296,-400.85251365874700,-8.45259392046000,-0.00962912018374
1980,2,28,44297,-400.80181262491000,-8.40739222723000,-0.00958612185894
1980,2,29,44298,-400.76456167695600,-8.35792766095000,-0.00953867160994
1980,3,1,44299,-400.74097849140900,-8.30977741517300,-0.00949223766319
1980,3,2,44300,-400.72927676524300,-8.26809191522000,-0.00945189190972
1980,3,3,44301,-400.72602361133200,-8.23689804547600,-0.00942161132147
1980,3,4,44302,-400.72667842461900,-8.21859351973600,-0.00940378408797
1980,3,5,44303,-400.72622977028600,-8.21368668247600,-0.00939896935467
1980,3,6,44304,-400.71983172815800,-8.22077613056800,-0.00940589167201
1980,3,7,44305,-400.70338355368700,-8.23671533929200,-0.00942160166364
