Sensor ID,Object NORAD ID,UTC Start,UTC Stop,UTC Time Closest Approach,UTC Time Max Elevation,Min Range [km],Max Elevation [deg]
Mamalluca Falcon,90002,2018-11-30T07:03:10Z,2018-11-30T07:05:10Z,2018-11-30T07:03:10Z,2018-11-30T07:03:10Z,908,31
Mamalluca Falcon,90003,2018-11-30T07:03:10Z,2018-11-30T07:05:10Z,2018-11-30T07:03:10Z,2018-11-30T07:03:10Z,908,31
Mamalluca Falcon,90001,2018-11-30T07:03:10Z,2018-11-30T07:05:10Z,2018-11-30T07:03:10Z,2018-11-30T07:03:10Z,907,31
Mamalluca Falcon,90004,2018-11-30T07:03:10Z,2018-11-30T07:05:10Z,2018-11-30T07:03:10Z,2018-11-30T07:03:10Z,907,31
RMIT ROO,90001,2018-11-30T16:31:20Z,2018-11-30T16:35:20Z,2018-11-30T16:31:30Z,2018-11-30T16:31:30Z,526,77
UNSW Falcon,90004,2018-11-30T16:31:20Z,2018-11-30T16:34:40Z,2018-11-30T16:31:20Z,2018-11-30T16:31:20Z,608,56
Stromlo Optical,90003,2018-11-30T16:31:20Z,2018-11-30T16:33:20Z,2018-11-30T16:31:20Z,2018-11-30T16:31:20Z,600,57
UNSW Falcon,90002,2018-11-30T16:31:20Z,2018-11-30T16:34:40Z,2018-11-30T16:31:20Z,2018-11-30T16:31:20Z,608,56
RMIT ROO,90003,2018-11-30T16:31:20Z,2018-11-30T16:35:20Z,2018-11-30T16:31:30Z,2018-11-30T16:31:30Z,526,77
RMIT ROO,90002,2018-11-30T16:31:20Z,2018-11-30T16:35:20Z,2018-11-30T16:31:30Z,2018-11-30T16:31:30Z,526,77
UNSW Falcon,90003,2018-11-30T16:31:20Z,2018-11-30T16:34:40Z,2018-11-30T16:31:20Z,2018-11-30T16:31:20Z,608,56
RMIT ROO,90004,2018-11-30T16:31:20Z,2018-11-30T16:35:20Z,2018-11-30T16:31:30Z,2018-11-30T16:31:30Z,526,77
UNSW Falcon,90001,2018-11-30T16:31:20Z,2018-11-30T16:34:40Z,2018-11-30T16:31:20Z,2018-11-30T16:31:20Z,608,56
Stromlo Optical,90004,2018-11-30T16:31:20Z,2018-11-30T16:33:20Z,2018-11-30T16:31:20Z,2018-11-30T16:31:20Z,600,57
Stromlo Optical,90001,2018-11-30T16:31:20Z,2018-11-30T16:33:20Z,2018-11-30T16:31:20Z,2018-11-30T16:31:20Z,600,57
Stromlo Optical,90002,2018-11-30T16:31:20Z,2018-11-30T16:33:20Z,2018-11-30T16:31:20Z,2018-11-30T16:31:20Z,600,57
Mamalluca Falcon,90001,2018-12-01T06:43:40Z,2018-12-01T06:45:20Z,2018-12-01T06:43:40Z,2018-12-01T06:43:40Z,1056,25
Mamalluca Falcon,90004,2018-12-01T06:43:40Z,2018-12-01T06:45:20Z,2018-12-01T06:43:40Z,2018-12-01T06:43:40Z,1056,25
