Sensor ID,Object NORAD ID,UTC Start,UTC Stop,UTC Time Closest Approach,UTC Time Max Elevation,Min Range [km],Max Elevation [deg]
RMIT ROO,90001,2018-11-21T11:09:10Z,2018-11-21T11:10:20Z,2018-11-21T11:09:10Z,2018-11-21T11:09:10Z,1453,15
UNSW Falcon,90001,2018-11-21T11:09:10Z,2018-11-21T11:10:20Z,2018-11-21T11:09:10Z,2018-11-21T11:09:10Z,1323,17
RMIT ROO,90001,2018-11-21T12:43:50Z,2018-11-21T12:45:50Z,2018-11-21T12:43:50Z,2018-11-21T12:43:50Z,1149,22
UNSW Falcon,90001,2018-11-21T12:43:50Z,2018-11-21T12:44:30Z,2018-11-21T12:43:50Z,2018-11-21T12:43:50Z,1583,12
Mamalluca Falcon,90001,2018-11-22T02:55:20Z,2018-11-22T02:55:30Z,2018-11-22T02:55:20Z,2018-11-22T02:55:20Z,1625,12
RMIT ROO,90001,2018-11-22T10:48:30Z,2018-11-22T10:48:40Z,2018-11-22T10:48:30Z,2018-11-22T10:48:30Z,1696,10
UNSW Falcon,90001,2018-11-22T10:48:30Z,2018-11-22T10:49:20Z,2018-11-22T10:48:30Z,2018-11-22T10:48:30Z,1503,14
RMIT ROO,90001,2018-11-22T12:23:00Z,2018-11-22T12:25:40Z,2018-11-22T12:23:00Z,2018-11-22T12:23:00Z,863,33
UNSW Falcon,90001,2018-11-22T12:23:00Z,2018-11-22T12:24:40Z,2018-11-22T12:23:00Z,2018-11-22T12:23:00Z,1273,19
Mamalluca Falcon,90001,2018-11-23T02:34:40Z,2018-11-23T02:35:20Z,2018-11-23T02:34:40Z,2018-11-23T02:34:40Z,1424,15
UNSW Falcon,90001,2018-11-23T10:27:40Z,2018-11-23T10:27:40Z,2018-11-23T10:27:40Z,2018-11-23T10:27:40Z,1705,10
RMIT ROO,90001,2018-11-23T12:02:20Z,2018-11-23T12:05:20Z,2018-11-23T12:02:20Z,2018-11-23T12:02:20Z,653,50
UNSW Falcon,90001,2018-11-23T12:02:20Z,2018-11-23T12:04:30Z,2018-11-23T12:02:20Z,2018-11-23T12:02:20Z,1007,27
Stromlo Optical,90001,2018-11-23T12:02:20Z,2018-11-23T12:03:00Z,2018-11-23T12:02:20Z,2018-11-23T12:02:20Z,996,27
Mamalluca Falcon,90001,2018-11-24T02:13:50Z,2018-11-24T02:15:00Z,2018-11-24T02:13:50Z,2018-11-24T02:13:50Z,1211,20
