Sensor ID,Object NORAD ID,UTC Start,UTC Stop,UTC Time Closest Approach,UTC Time Max Elevation,Min Range [km],Max Elevation [deg]
PSU Falcon,43014,2018-05-29T06:28:30Z,2018-05-29T06:34:30Z,2018-05-29T06:33:40Z,2018-05-29T06:33:40Z,817,87
NJC Falcon,43014,2018-05-29T08:06:10Z,2018-05-29T08:12:00Z,2018-05-29T08:11:20Z,2018-05-29T08:11:20Z,822,83
FLC Falcon,43014,2018-05-29T08:07:20Z,2018-05-29T08:12:00Z,2018-05-29T08:12:00Z,2018-05-29T08:12:00Z,964,56
PSU Falcon,43014,2018-05-30T06:51:30Z,2018-05-30T06:57:40Z,2018-05-30T06:56:40Z,2018-05-30T06:56:40Z,953,57
NJC Falcon,43014,2018-05-30T08:29:10Z,2018-05-30T08:35:20Z,2018-05-30T08:34:20Z,2018-05-30T08:34:20Z,915,62
FLC Falcon,43014,2018-05-30T08:30:10Z,2018-05-30T08:35:20Z,2018-05-30T08:35:20Z,2018-05-30T08:35:20Z,824,83
PSU Falcon,43014,2018-05-31T05:38:20Z,2018-05-31T05:43:20Z,2018-05-31T05:43:00Z,2018-05-31T05:43:00Z,1406,31
PSU Falcon,43014,2018-05-31T07:14:40Z,2018-05-31T07:21:00Z,2018-05-31T07:19:20Z,2018-05-31T07:19:20Z,1278,36
NJC Falcon,43014,2018-05-31T07:16:10Z,2018-05-31T07:21:00Z,2018-05-31T07:20:40Z,2018-05-31T07:20:40Z,1476,28
NJC Falcon,43014,2018-05-31T08:52:20Z,2018-05-31T08:58:30Z,2018-05-31T08:57:00Z,2018-05-31T08:57:00Z,1223,38
FLC Falcon,43014,2018-05-31T08:53:10Z,2018-05-31T08:58:30Z,2018-05-31T08:58:20Z,2018-05-31T08:58:20Z,1021,51
PSU Falcon,43014,2018-06-01T06:00:50Z,2018-06-01T06:06:40Z,2018-06-01T06:06:00Z,2018-06-01T06:06:00Z,1033,50
PSU Falcon,43014,2018-06-01T07:38:10Z,2018-06-01T07:44:10Z,2018-06-01T07:42:10Z,2018-06-01T07:42:10Z,1676,23
NJC Falcon,43014,2018-06-01T07:38:40Z,2018-06-01T07:44:10Z,2018-06-01T07:43:40Z,2018-06-01T07:43:40Z,1084,46
FLC Falcon,43014,2018-06-01T07:40:00Z,2018-06-01T07:44:10Z,2018-06-01T07:44:10Z,2018-06-01T07:44:10Z,1398,31
NJC Falcon,43014,2018-06-01T09:15:40Z,2018-06-01T09:21:40Z,2018-06-01T09:19:50Z,2018-06-01T09:19:50Z,1615,24
FLC Falcon,43014,2018-06-01T09:16:30Z,2018-06-01T09:21:40Z,2018-06-01T09:21:00Z,2018-06-01T09:21:00Z,1396,31
PSU Falcon,43014,2018-06-02T06:23:40Z,2018-06-02T06:29:50Z,2018-06-02T06:29:00Z,2018-06-02T06:29:00Z,831,82
NJC Falcon,43014,2018-06-02T08:01:20Z,2018-06-02T08:07:20Z,2018-06-02T08:06:40Z,2018-06-02T08:06:40Z,845,76
FLC Falcon,43014,2018-06-02T08:02:40Z,2018-06-02T08:07:20Z,2018-06-02T08:07:20Z,2018-06-02T08:07:20Z,1011,52
FLC Falcon,43014,2018-06-02T09:40:10Z,2018-06-02T09:45:00Z,2018-06-02T09:43:50Z,2018-06-02T09:43:50Z,1829,20
