Sensor ID,Object NORAD ID,UTC Start,UTC Stop,UTC Time Closest Approach,UTC Time Max Elevation,Min Range [km],Max Elevation [deg]
NJC Falcon,90002,2018-10-01T03:20:00Z,2018-10-01T03:20:00Z,2018-10-01T03:20:00Z,2018-10-01T03:20:00Z,1533,13
NJC Falcon,90002,2018-10-02T03:01:00Z,2018-10-02T03:01:00Z,2018-10-02T03:01:00Z,2018-10-02T03:01:00Z,1453,14
UNSW Falcon,90002,2018-10-23T11:41:00Z,2018-10-23T11:41:00Z,2018-10-23T11:41:00Z,2018-10-23T11:41:00Z,1670,11
UNSW Falcon,90002,2018-10-24T11:22:00Z,2018-10-24T11:22:00Z,2018-10-24T11:22:00Z,2018-10-24T11:22:00Z,1550,13
UNSW Falcon,90002,2018-10-25T11:03:00Z,2018-10-25T11:03:00Z,2018-10-25T11:03:00Z,2018-10-25T11:03:00Z,1529,13
UNSW Falcon,90002,2018-10-26T10:44:00Z,2018-10-26T10:44:00Z,2018-10-26T10:44:00Z,2018-10-26T10:44:00Z,1613,12
UNSW Falcon,90002,2018-10-27T12:00:00Z,2018-10-27T12:00:00Z,2018-10-27T12:00:00Z,2018-10-27T12:00:00Z,1691,11
UNSW Falcon,90002,2018-10-28T11:41:00Z,2018-10-28T11:41:00Z,2018-10-28T11:41:00Z,2018-10-28T11:41:00Z,1450,15
UNSW Falcon,90002,2018-10-29T11:21:00Z,2018-10-29T11:22:00Z,2018-10-29T11:22:00Z,2018-10-29T11:22:00Z,1295,18
UNSW Falcon,90002,2018-10-30T11:02:00Z,2018-10-30T11:03:00Z,2018-10-30T11:03:00Z,2018-10-30T11:03:00Z,1262,19
UNSW Falcon,90002,2018-10-31T10:44:00Z,2018-10-31T10:44:00Z,2018-10-31T10:44:00Z,2018-10-31T10:44:00Z,1361,17
UNSW Falcon,90002,2018-11-01T10:25:00Z,2018-11-01T10:25:00Z,2018-11-01T10:25:00Z,2018-11-01T10:25:00Z,1569,13
UNSW Falcon,90002,2018-11-01T12:00:00Z,2018-11-01T12:00:00Z,2018-11-01T12:00:00Z,2018-11-01T12:00:00Z,1544,13
Perth Falcon,90002,2018-11-01T13:34:00Z,2018-11-01T13:34:00Z,2018-11-01T13:34:00Z,2018-11-01T13:34:00Z,1733,10
UNSW Falcon,90002,2018-11-02T11:40:00Z,2018-11-02T11:41:00Z,2018-11-02T11:41:00Z,2018-11-02T11:41:00Z,1256,19
Perth Falcon,90002,2018-11-02T13:15:00Z,2018-11-02T13:15:00Z,2018-11-02T13:15:00Z,2018-11-02T13:15:00Z,1713,10
UNSW Falcon,90002,2018-11-03T11:21:00Z,2018-11-03T11:22:00Z,2018-11-03T11:22:00Z,2018-11-03T11:22:00Z,1057,25
UNSW Falcon,90002,2018-11-04T11:02:00Z,2018-11-04T11:03:00Z,2018-11-04T11:03:00Z,2018-11-04T11:03:00Z,1007,27
UNSW Falcon,90002,2018-11-05T10:43:00Z,2018-11-05T10:44:00Z,2018-11-05T10:44:00Z,2018-11-05T10:44:00Z,1126,23
Perth Falcon,90002,2018-11-05T13:53:00Z,2018-11-05T13:53:00Z,2018-11-05T13:53:00Z,2018-11-05T13:53:00Z,1620,12
UNSW Falcon,90002,2018-11-06T10:24:00Z,2018-11-06T10:25:00Z,2018-11-06T10:25:00Z,2018-11-06T10:25:00Z,1374,17
UNSW Falcon,90002,2018-11-06T11:59:00Z,2018-11-06T11:59:00Z,2018-11-06T11:59:00Z,2018-11-06T11:59:00Z,1589,12
Perth Falcon,90002,2018-11-06T13:34:00Z,2018-11-06T13:34:00Z,2018-11-06T13:34:00Z,2018-11-06T13:34:00Z,1473,15
UNSW Falcon,90002,2018-11-07T10:06:00Z,2018-11-07T10:06:00Z,2018-11-07T10:06:00Z,2018-11-07T10:06:00Z,1694,11
UNSW Falcon,90002,2018-11-07T11:39:00Z,2018-11-07T11:40:00Z,2018-11-07T11:40:00Z,2018-11-07T11:40:00Z,1332,18
Perth Falcon,90002,2018-11-07T13:15:00Z,2018-11-07T13:15:00Z,2018-11-07T13:15:00Z,2018-11-07T13:15:00Z,1442,15
UNSW Falcon,90002,2018-11-08T11:20:00Z,2018-11-08T11:22:00Z,2018-11-08T11:22:00Z,2018-11-08T11:22:00Z,850,35
Perth Falcon,90002,2018-11-08T12:56:00Z,2018-11-08T12:56:00Z,2018-11-08T12:56:00Z,2018-11-08T12:56:00Z,1536,13
UNSW Falcon,90002,2018-11-09T11:01:00Z,2018-11-09T11:03:00Z,2018-11-09T11:03:00Z,2018-11-09T11:03:00Z,774,39
Perth Falcon,90002,2018-11-09T12:37:00Z,2018-11-09T12:37:00Z,2018-11-09T12:37:00Z,2018-11-09T12:37:00Z,1735,10
Perth Falcon,90002,2018-11-09T14:12:00Z,2018-11-09T14:12:00Z,2018-11-09T14:12:00Z,2018-11-09T14:12:00Z,1688,11
UNSW Falcon,90002,2018-11-10T10:42:00Z,2018-11-10T10:44:00Z,2018-11-10T10:44:00Z,2018-11-10T10:44:00Z,922,31
Perth Falcon,90002,2018-11-10T13:52:00Z,2018-11-10T13:53:00Z,2018-11-10T13:53:00Z,2018-11-10T13:53:00Z,1411,16
UNSW Falcon,90002,2018-11-11T10:24:00Z,2018-11-11T10:25:00Z,2018-11-11T10:25:00Z,2018-11-11T10:25:00Z,1216,20
UNSW Falcon,90002,2018-11-11T11:58:00Z,2018-11-11T11:59:00Z,2018-11-11T11:59:00Z,2018-11-11T11:59:00Z,1456,15
Perth Falcon,90002,2018-11-11T13:33:00Z,2018-11-11T13:34:00Z,2018-11-11T13:34:00Z,2018-11-11T13:34:00Z,1225,20
UNSW Falcon,90002,2018-11-12T10:06:00Z,2018-11-12T10:06:00Z,2018-11-12T10:06:00Z,2018-11-12T10:06:00Z,1577,13
UNSW Falcon,90002,2018-11-12T11:39:00Z,2018-11-12T11:40:00Z,2018-11-12T11:40:00Z,2018-11-12T11:40:00Z,1151,22
Perth Falcon,90002,2018-11-12T13:14:00Z,2018-11-12T13:15:00Z,2018-11-12T13:15:00Z,2018-11-12T13:15:00Z,1179,21
UNSW Falcon,90002,2018-11-13T11:19:00Z,2018-11-13T11:21:00Z,2018-11-13T11:21:00Z,2018-11-13T11:21:00Z,940,30
Perth Falcon,90002,2018-11-13T12:55:00Z,2018-11-13T12:56:00Z,2018-11-13T12:56:00Z,2018-11-13T12:56:00Z,1290,19
UNSW Falcon,90002,2018-11-14T11:00:00Z,2018-11-14T11:02:00Z,2018-11-14T11:02:00Z,2018-11-14T11:02:00Z,898,32
Perth Falcon,90002,2018-11-14T12:37:00Z,2018-11-14T12:37:00Z,2018-11-14T12:37:00Z,2018-11-14T12:37:00Z,1525,14
Perth Falcon,90002,2018-11-14T14:12:00Z,2018-11-14T14:12:00Z,2018-11-14T14:12:00Z,2018-11-14T14:12:00Z,1557,13
UNSW Falcon,90002,2018-11-15T10:42:00Z,2018-11-15T10:43:00Z,2018-11-15T10:43:00Z,2018-11-15T10:43:00Z,1046,26
Perth Falcon,90002,2018-11-15T13:52:00Z,2018-11-15T13:53:00Z,2018-11-15T13:53:00Z,2018-11-15T13:53:00Z,1231,20
UNSW Falcon,90002,2018-11-16T10:23:00Z,2018-11-16T10:24:00Z,2018-11-16T10:24:00Z,2018-11-16T10:24:00Z,1324,18
UNSW Falcon,90002,2018-11-16T11:57:00Z,2018-11-16T11:59:00Z,2018-11-16T11:59:00Z,2018-11-16T11:59:00Z,1371,17
Perth Falcon,90002,2018-11-16T13:32:00Z,2018-11-16T13:34:00Z,2018-11-16T13:34:00Z,2018-11-16T13:34:00Z,997,28
UNSW Falcon,90002,2018-11-17T10:05:00Z,2018-11-17T10:05:00Z,2018-11-17T10:05:00Z,2018-11-17T10:05:00Z,1668,11
UNSW Falcon,90002,2018-11-17T11:38:00Z,2018-11-17T11:40:00Z,2018-11-17T11:40:00Z,2018-11-17T11:40:00Z,1019,27
Perth Falcon,90002,2018-11-17T13:13:00Z,2018-11-17T13:15:00Z,2018-11-17T13:15:00Z,2018-11-17T13:15:00Z,931,30
UNSW Falcon,90002,2018-11-18T11:19:00Z,2018-11-18T11:21:00Z,2018-11-18T11:21:00Z,2018-11-18T11:21:00Z,752,41
Perth Falcon,90002,2018-11-18T12:55:00Z,2018-11-18T12:56:00Z,2018-11-18T12:56:00Z,2018-11-18T12:56:00Z,1066,25
UNSW Falcon,90002,2018-11-19T11:00:00Z,2018-11-19T11:02:00Z,2018-11-19T11:02:00Z,2018-11-19T11:02:00Z,686,47
Perth Falcon,90002,2018-11-19T12:36:00Z,2018-11-19T12:37:00Z,2018-11-19T12:37:00Z,2018-11-19T12:37:00Z,1345,17
Perth Falcon,90002,2018-11-19T14:11:00Z,2018-11-19T14:12:00Z,2018-11-19T14:12:00Z,2018-11-19T14:12:00Z,1468,15
UNSW Falcon,90002,2018-11-20T10:41:00Z,2018-11-20T10:43:00Z,2018-11-20T10:43:00Z,2018-11-20T10:43:00Z,870,34
UNSW Falcon,90002,2018-11-20T12:17:00Z,2018-11-20T12:17:00Z,2018-11-20T12:17:00Z,2018-11-20T12:17:00Z,1741,10
Perth Falcon,90002,2018-11-20T12:18:00Z,2018-11-20T12:18:00Z,2018-11-20T12:18:00Z,2018-11-20T12:18:00Z,1697,11
Perth Falcon,90002,2018-11-20T13:51:00Z,2018-11-20T13:53:00Z,2018-11-20T13:53:00Z,2018-11-20T13:53:00Z,1097,24
UNSW Falcon,90002,2018-11-21T10:23:00Z,2018-11-21T10:24:00Z,2018-11-21T10:24:00Z,2018-11-21T10:24:00Z,1194,21
UNSW Falcon,90002,2018-11-21T11:57:00Z,2018-11-21T11:59:00Z,2018-11-21T11:59:00Z,2018-11-21T11:59:00Z,1340,17
Perth Falcon,90002,2018-11-21T13:32:00Z,2018-11-21T13:34:00Z,2018-11-21T13:34:00Z,2018-11-21T13:34:00Z,807,37
UNSW Falcon,90002,2018-11-22T10:05:00Z,2018-11-22T10:05:00Z,2018-11-22T10:05:00Z,2018-11-22T10:05:00Z,1575,13
UNSW Falcon,90002,2018-11-22T11:37:00Z,2018-11-22T11:40:00Z,2018-11-22T11:40:00Z,2018-11-22T11:40:00Z,956,29
Perth Falcon,90002,2018-11-22T13:13:00Z,2018-11-22T13:15:00Z,2018-11-22T13:15:00Z,2018-11-22T13:15:00Z,711,45
UNSW Falcon,90002,2018-11-23T11:18:00Z,2018-11-23T11:21:00Z,2018-11-23T11:21:00Z,2018-11-23T11:21:00Z,642,52
Perth Falcon,90002,2018-11-23T12:54:00Z,2018-11-23T12:56:00Z,2018-11-23T12:56:00Z,2018-11-23T12:56:00Z,879,33
UNSW Falcon,90002,2018-11-24T10:59:00Z,2018-11-24T11:02:00Z,2018-11-24T11:02:00Z,2018-11-24T11:02:00Z,548,70
Perth Falcon,90002,2018-11-24T12:36:00Z,2018-11-24T12:37:00Z,2018-11-24T12:37:00Z,2018-11-24T12:37:00Z,1205,21
Perth Falcon,90002,2018-11-24T14:10:00Z,2018-11-24T14:11:00Z,2018-11-24T14:11:00Z,2018-11-24T14:11:00Z,1474,15
UNSW Falcon,90002,2018-11-25T10:40:00Z,2018-11-25T10:43:00Z,2018-11-25T10:43:00Z,2018-11-25T10:43:00Z,763,40
UNSW Falcon,90002,2018-11-25T12:16:00Z,2018-11-25T12:17:00Z,2018-11-25T12:17:00Z,2018-11-25T12:17:00Z,1707,11
Perth Falcon,90002,2018-11-25T12:18:00Z,2018-11-25T12:18:00Z,2018-11-25T12:18:00Z,2018-11-25T12:18:00Z,1597,12
Perth Falcon,90002,2018-11-25T13:50:00Z,2018-11-25T13:52:00Z,2018-11-25T13:52:00Z,2018-11-25T13:52:00Z,1132,23
UNSW Falcon,90002,2018-11-26T10:22:00Z,2018-11-26T10:24:00Z,2018-11-26T10:24:00Z,2018-11-26T10:24:00Z,1123,23
UNSW Falcon,90002,2018-11-26T11:56:00Z,2018-11-26T11:59:00Z,2018-11-26T11:58:00Z,2018-11-26T11:58:00Z,1313,18
Perth Falcon,90002,2018-11-26T13:31:00Z,2018-11-26T13:33:00Z,2018-11-26T13:33:00Z,2018-11-26T13:33:00Z,885,33
UNSW Falcon,90002,2018-11-27T10:04:00Z,2018-11-27T10:05:00Z,2018-11-27T10:05:00Z,2018-11-27T10:05:00Z,1529,13
UNSW Falcon,90002,2018-11-27T11:37:00Z,2018-11-27T11:40:00Z,2018-11-27T11:39:00Z,2018-11-27T11:39:00Z,947,30
Perth Falcon,90002,2018-11-27T13:12:00Z,2018-11-27T13:14:00Z,2018-11-27T13:14:00Z,2018-11-27T13:14:00Z,828,36
