Sensor ID,Object NORAD ID,UTC Start,UTC Stop,UTC Time Closest Approach,UTC Time Max Elevation,Min Range [km],Max Elevation [deg]
Stromlo Optical,90003,2018-12-09T17:38:30Z,2018-12-09T17:43:20Z,2018-12-09T17:40:40Z,2018-12-09T17:40:40Z,526,79
Stromlo Optical,90003,2018-12-10T17:19:50Z,2018-12-10T17:24:10Z,2018-12-10T17:22:00Z,2018-12-10T17:22:00Z,705,45
Arequipa Optical,90003,2018-12-11T09:02:30Z,2018-12-11T09:05:30Z,2018-12-11T09:03:40Z,2018-12-11T09:03:40Z,887,32
Stromlo Optical,90003,2018-12-11T17:01:50Z,2018-12-11T17:04:40Z,2018-12-11T17:03:20Z,2018-12-11T17:03:20Z,1050,26
Yarragadee Optical,90003,2018-12-11T20:08:00Z,2018-12-11T20:12:50Z,2018-12-11T20:10:20Z,2018-12-11T20:10:20Z,556,67
Arequipa Optical,90003,2018-12-12T08:43:30Z,2018-12-12T08:47:10Z,2018-12-12T08:44:50Z,2018-12-12T08:44:50Z,548,67
Yarragadee Optical,90003,2018-12-12T19:49:10Z,2018-12-12T19:53:50Z,2018-12-12T19:51:30Z,2018-12-12T19:51:30Z,581,61
Arequipa Optical,90003,2018-12-13T08:24:20Z,2018-12-13T08:28:20Z,2018-12-13T08:26:00Z,2018-12-13T08:26:00Z,601,56
Yarragadee Optical,90003,2018-12-13T19:31:00Z,2018-12-13T19:34:30Z,2018-12-13T19:32:40Z,2018-12-13T19:32:40Z,901,32
Arequipa Optical,90003,2018-12-14T08:05:40Z,2018-12-14T08:08:50Z,2018-12-14T08:07:10Z,2018-12-14T08:07:10Z,982,28
Stromlo Optical,90003,2018-12-14T17:37:50Z,2018-12-14T17:42:40Z,2018-12-14T17:40:00Z,2018-12-14T17:40:00Z,530,76
Stromlo Optical,90003,2018-12-15T17:19:20Z,2018-12-15T17:23:30Z,2018-12-15T17:21:20Z,2018-12-15T17:21:20Z,725,43
Arequipa Optical,90003,2018-12-16T09:02:00Z,2018-12-16T09:05:00Z,2018-12-16T09:03:10Z,2018-12-16T09:03:10Z,858,33
