Sensor ID,Object NORAD ID,UTC Start,UTC Stop,UTC Time Closest Approach,UTC Time Max Elevation,Min Range [km],Max Elevation [deg]
PSU Falcon,43014,2018-06-15T06:32:00Z,2018-06-15T06:38:10Z,2018-06-15T06:37:10Z,2018-06-15T06:37:10Z,786,82
NJC Falcon,43014,2018-06-15T08:09:30Z,2018-06-15T08:15:40Z,2018-06-15T08:14:50Z,2018-06-15T08:14:50Z,777,88
FLC Falcon,43014,2018-06-15T08:10:50Z,2018-06-15T08:15:40Z,2018-06-15T08:15:40Z,2018-06-15T08:15:40Z,848,63
PSU Falcon,43014,2018-06-16T05:19:30Z,2018-06-16T05:23:40Z,2018-06-16T05:23:20Z,2018-06-16T05:23:10Z,1714,20
PSU Falcon,43014,2018-06-16T06:55:00Z,2018-06-16T07:01:10Z,2018-06-16T07:00:00Z,2018-06-16T07:00:00Z,980,50
NJC Falcon,43014,2018-06-16T08:32:30Z,2018-06-16T08:38:50Z,2018-06-16T08:37:40Z,2018-06-16T08:37:40Z,933,53
FLC Falcon,43014,2018-06-16T08:33:40Z,2018-06-16T08:38:50Z,2018-06-16T08:38:50Z,2018-06-16T08:38:50Z,787,74
PSU Falcon,43014,2018-06-17T05:41:40Z,2018-06-17T05:46:50Z,2018-06-17T05:46:20Z,2018-06-17T05:46:20Z,1271,32
PSU Falcon,43014,2018-06-17T07:18:10Z,2018-06-17T07:24:20Z,2018-06-17T07:22:40Z,2018-06-17T07:22:40Z,1334,31
NJC Falcon,43014,2018-06-17T07:19:30Z,2018-06-17T07:24:20Z,2018-06-17T07:24:00Z,2018-06-17T07:23:50Z,1338,30
NJC Falcon,43014,2018-06-17T08:55:40Z,2018-06-17T09:01:50Z,2018-06-17T09:00:20Z,2018-06-17T09:00:20Z,1274,33
FLC Falcon,43014,2018-06-17T08:56:40Z,2018-06-17T09:01:50Z,2018-06-17T09:01:40Z,2018-06-17T09:01:30Z,1048,43
PSU Falcon,43014,2018-06-18T06:04:20Z,2018-06-18T06:09:50Z,2018-06-18T06:09:20Z,2018-06-18T06:09:20Z,907,54
NJC Falcon,43014,2018-06-18T07:42:00Z,2018-06-18T07:47:20Z,2018-06-18T07:47:00Z,2018-06-18T07:47:00Z,954,49
FLC Falcon,43014,2018-06-18T07:43:30Z,2018-06-18T07:47:20Z,2018-06-18T07:47:20Z,2018-06-18T07:47:20Z,1264,32
NJC Falcon,43014,2018-06-18T09:19:10Z,2018-06-18T09:25:00Z,2018-06-18T09:23:00Z,2018-06-18T09:22:50Z,1677,21
FLC Falcon,43014,2018-06-18T09:20:00Z,2018-06-18T09:25:00Z,2018-06-18T09:24:20Z,2018-06-18T09:24:10Z,1449,26
PSU Falcon,43014,2018-06-19T06:27:00Z,2018-06-19T06:33:00Z,2018-06-19T06:32:10Z,2018-06-19T06:32:10Z,748,89
NJC Falcon,43014,2018-06-19T08:04:40Z,2018-06-19T08:10:30Z,2018-06-19T08:09:50Z,2018-06-19T08:09:50Z,749,84
FLC Falcon,43014,2018-06-19T08:06:00Z,2018-06-19T08:10:30Z,2018-06-19T08:10:30Z,2018-06-19T08:10:30Z,880,55
